lon,lat,class_start,class_end,is_changed,transition_code,forest_loss,forest_gain,urbanization,mining_expansion
119.2985,-2.6119,0,0,0,0->0,0,0,0,0
118.8718,-2.6074,4,4,0,4->4,0,0,0,0
118.8853,-2.6074,4,4,0,4->4,0,0,0,0
119.0829,-2.6074,0,0,0,0->0,0,0,0,0
119.2356,-2.6074,0,0,0,0->0,0,0,0,0
119.2805,-2.6074,0,0,0,0->0,0,0,0,0
119.3749,-2.6074,0,0,0,0->0,0,0,0,0
119.4018,-2.6074,0,0,0,0->0,0,0,0,0
118.8628,-2.6029,4,4,0,4->4,0,0,0,0
118.9347,-2.6029,4,4,0,4->4,0,0,0,0
118.9392,-2.6029,4,4,0,4->4,0,0,0,0
118.9751,-2.6029,4,4,0,4->4,0,0,0,0
118.9976,-2.6029,4,4,0,4->4,0,0,0,0
119.0739,-2.6029,1,1,0,1->1,0,0,0,0
119.1638,-2.6029,0,0,0,0->0,0,0,0,0
119.2895,-2.6029,1,1,0,1->1,0,0,0,0
119.321,-2.6029,0,0,0,0->0,0,0,0,0
119.3883,-2.6029,0,0,0,0->0,0,0,0,0
119.047,-2.5984,0,1,1,0->1,1,0,0,0
119.1189,-2.5984,0,0,0,0->0,0,0,0,0
119.2311,-2.5984,0,0,0,0->0,0,0,0,0
119.321,-2.5984,0,0,0,0->0,0,0,0,0
119.0335,-2.5939,0,1,1,0->1,1,0,0,0
119.1009,-2.5939,0,0,0,0->0,0,0,0,0
119.2087,-2.5939,0,0,0,0->0,0,0,0,0
119.2132,-2.5939,0,0,0,0->0,0,0,0,0
119.3569,-2.5939,0,0,0,0->0,0,0,0,0
119.3659,-2.5939,0,0,0,0->0,0,0,0,0
119.02,-2.5894,2,2,0,2->2,0,0,0,0
119.1099,-2.5894,0,1,1,0->1,1,0,0,0
119.1368,-2.5894,0,0,0,0->0,0,0,0,0
119.2177,-2.5894,0,0,0,0->0,0,0,0,0
119.2267,-2.5894,0,0,0,0->0,0,0,0,0
119.1233,-2.5849,0,1,1,0->1,1,0,0,0
119.1817,-2.5849,0,0,0,0->0,0,0,0,0
119.2716,-2.5849,0,0,0,0->0,0,0,0,0
119.3524,-2.5849,0,0,0,0->0,0,0,0,0
119.0335,-2.5804,1,1,0,1->1,0,0,0,0
119.047,-2.5804,2,2,0,2->2,0,0,0,0
119.1323,-2.5804,1,0,1,1->0,0,1,0,0
119.1638,-2.5804,0,0,0,0->0,0,0,0,0
119.2311,-2.5804,0,0,0,0->0,0,0,0,0
119.33,-2.5804,0,0,0,0->0,0,0,0,0
119.3344,-2.5804,0,0,0,0->0,0,0,0,0
119.3434,-2.5804,0,0,0,0->0,0,0,0,0
119.3973,-2.5804,0,0,0,0->0,0,0,0,0
119.4108,-2.5804,0,0,0,0->0,0,0,0,0
119.4153,-2.5804,0,0,0,0->0,0,0,0,0
119.4198,-2.5804,0,0,0,0->0,0,0,0,0
119.303,-2.5759,0,0,0,0->0,0,0,0,0
119.312,-2.5759,0,0,0,0->0,0,0,0,0
119.0605,-2.5714,0,0,0,0->0,0,0,0,0
119.0784,-2.5714,0,0,0,0->0,0,0,0,0
119.1368,-2.5714,0,0,0,0->0,0,0,0,0
119.1772,-2.5714,0,0,0,0->0,0,0,0,0
119.2267,-2.5714,0,0,0,0->0,0,0,0,0
119.3165,-2.5714,0,0,0,0->0,0,0,0,0
119.3389,-2.5714,0,0,0,0->0,0,0,0,0
119.1233,-2.5669,0,0,0,0->0,0,0,0,0
119.1593,-2.5669,0,0,0,0->0,0,0,0,0
119.2132,-2.5669,0,0,0,0->0,0,0,0,0
119.2536,-2.5669,0,0,0,0->0,0,0,0,0
119.294,-2.5669,0,0,0,0->0,0,0,0,0
119.0066,-2.5624,4,4,0,4->4,0,0,0,0
119.0245,-2.5624,4,4,0,4->4,0,0,0,0
119.065,-2.5624,1,1,0,1->1,0,0,0,0
119.1054,-2.5624,0,0,0,0->0,0,0,0,0
119.1593,-2.5624,0,0,0,0->0,0,0,0,0
119.2222,-2.5624,0,0,0,0->0,0,0,0,0
119.4063,-2.5624,0,0,0,0->0,0,0,0,0
119.1144,-2.558,0,0,0,0->0,0,0,0,0
119.1413,-2.558,0,0,0,0->0,0,0,0,0
119.2985,-2.558,0,0,0,0->0,0,0,0,0
119.3479,-2.558,0,0,0,0->0,0,0,0,0
119.3883,-2.558,0,0,0,0->0,0,0,0,0
119.0111,-2.5535,4,4,0,4->4,0,0,0,0
119.0425,-2.5535,4,4,0,4->4,0,0,0,0
119.065,-2.5535,2,2,0,2->2,0,0,0,0
119.3794,-2.5535,0,0,0,0->0,0,0,0,0
119.1772,-2.549,0,0,0,0->0,0,0,0,0
119.2401,-2.549,0,0,0,0->0,0,0,0,0
119.2805,-2.549,0,0,0,0->0,0,0,0,0
119.321,-2.549,0,0,0,0->0,0,0,0,0
119.3614,-2.549,0,0,0,0->0,0,0,0,0
119.3973,-2.549,0,0,0,0->0,0,0,0,0
119.0155,-2.5445,4,4,0,4->4,0,0,0,0
119.0335,-2.5445,1,3,1,1->3,0,0,0,1
119.1278,-2.5445,0,0,0,0->0,0,0,0,0
119.1772,-2.5445,0,0,0,0->0,0,0,0,0
119.1907,-2.5445,0,0,0,0->0,0,0,0,0
119.3479,-2.5445,0,0,0,0->0,0,0,0,0
119.3659,-2.5445,0,0,0,0->0,0,0,0,0
119.0829,-2.54,1,2,1,1->2,0,0,1,0
119.1189,-2.54,0,1,1,0->1,1,0,0,0
119.1817,-2.54,0,0,0,0->0,0,0,0,0
119.1862,-2.54,0,0,0,0->0,0,0,0,0
119.2626,-2.54,0,0,0,0->0,0,0,0,0
119.0245,-2.5355,4,4,0,4->4,0,0,0,0
119.33,-2.5355,0,0,0,0->0,0,0,0,0
119.3659,-2.5355,0,0,0,0->0,0,0,0,0
119.3704,-2.5355,0,0,0,0->0,0,0,0,0
119.0245,-2.531,4,4,0,4->4,0,0,0,0
119.1099,-2.531,0,0,0,0->0,0,0,0,0
119.2177,-2.531,0,0,0,0->0,0,0,0,0
119.0021,-2.5265,4,4,0,4->4,0,0,0,0
119.029,-2.5265,4,4,0,4->4,0,0,0,0
119.056,-2.5265,0,0,0,0->0,0,0,0,0
119.1638,-2.5265,0,1,1,0->1,1,0,0,0
119.1817,-2.5265,0,0,0,0->0,0,0,0,0
119.2222,-2.5265,0,0,0,0->0,0,0,0,0
119.2491,-2.5265,0,0,0,0->0,0,0,0,0
119.2985,-2.5265,0,0,0,0->0,0,0,0,0
119.303,-2.5265,0,0,0,0->0,0,0,0,0
119.3075,-2.5265,0,0,0,0->0,0,0,0,0
119.3165,-2.5265,0,0,0,0->0,0,0,0,0
119.3479,-2.5265,0,1,1,0->1,1,0,0,0
119.038,-2.522,1,1,0,1->1,0,0,0,0
119.047,-2.522,0,0,0,0->0,0,0,0,0
119.2895,-2.522,0,0,0,0->0,0,0,0,0
119.294,-2.522,0,0,0,0->0,0,0,0,0
119.3165,-2.522,0,0,0,0->0,0,0,0,0
119.3389,-2.522,0,1,1,0->1,1,0,0,0
119.3973,-2.522,0,0,0,0->0,0,0,0,0
119.0605,-2.5175,1,1,0,1->1,0,0,0,0
119.1862,-2.5175,0,0,0,0->0,0,0,0,0
119.1907,-2.5175,0,0,0,0->0,0,0,0,0
119.2311,-2.5175,0,0,0,0->0,0,0,0,0
119.2895,-2.5175,0,0,0,0->0,0,0,0,0
119.3569,-2.5175,0,0,0,0->0,0,0,0,0
119.3883,-2.5175,0,0,0,0->0,0,0,0,0
119.3928,-2.5175,0,0,0,0->0,0,0,0,0
119.3973,-2.5175,0,0,0,0->0,0,0,0,0
119.0694,-2.513,1,1,0,1->1,0,0,0,0
119.1368,-2.513,1,0,1,1->0,0,1,0,0
119.1683,-2.513,0,0,0,0->0,0,0,0,0
119.2536,-2.513,0,0,0,0->0,0,0,0,0
119.3749,-2.513,0,0,0,0->0,0,0,0,0
119.0605,-2.5085,0,1,1,0->1,1,0,0,0
119.1503,-2.5085,0,0,0,0->0,0,0,0,0
119.1593,-2.5085,0,0,0,0->0,0,0,0,0
119.2761,-2.5085,0,0,0,0->0,0,0,0,0
119.3794,-2.5085,0,0,0,0->0,0,0,0,0
119.1144,-2.5041,0,0,0,0->0,0,0,0,0
119.1458,-2.5041,0,0,0,0->0,0,0,0,0
119.1548,-2.5041,0,0,0,0->0,0,0,0,0
119.303,-2.5041,0,0,0,0->0,0,0,0,0
119.3255,-2.5041,0,0,0,0->0,0,0,0,0
119.3524,-2.5041,0,0,0,0->0,0,0,0,0
119.4108,-2.5041,0,0,0,0->0,0,0,0,0
119.029,-2.4996,4,4,0,4->4,0,0,0,0
119.038,-2.4996,4,4,0,4->4,0,0,0,0
119.056,-2.4996,4,4,0,4->4,0,0,0,0
119.0964,-2.4996,4,4,0,4->4,0,0,0,0
119.1548,-2.4996,0,0,0,0->0,0,0,0,0
119.294,-2.4996,0,0,0,0->0,0,0,0,0
119.3165,-2.4996,0,0,0,0->0,0,0,0,0
119.0021,-2.4951,4,4,0,4->4,0,0,0,0
119.065,-2.4951,4,4,0,4->4,0,0,0,0
119.1054,-2.4951,1,1,0,1->1,0,0,0,0
119.1503,-2.4951,0,0,0,0->0,0,0,0,0
119.3075,-2.4951,0,0,0,0->0,0,0,0,0
119.3255,-2.4951,0,0,0,0->0,0,0,0,0
119.0111,-2.4906,4,4,0,4->4,0,0,0,0
119.0739,-2.4906,4,4,0,4->4,0,0,0,0
119.3569,-2.4906,0,1,1,0->1,1,0,0,0
119.4018,-2.4906,0,0,0,0->0,0,0,0,0
119.1503,-2.4861,0,0,0,0->0,0,0,0,0
119.2267,-2.4861,0,1,1,0->1,1,0,0,0
119.2311,-2.4861,0,0,0,0->0,0,0,0,0
119.2356,-2.4861,0,0,0,0->0,0,0,0,0
119.294,-2.4861,0,0,0,0->0,0,0,0,0
119.3749,-2.4861,0,1,1,0->1,1,0,0,0
119.0335,-2.4816,4,4,0,4->4,0,0,0,0
119.0694,-2.4816,4,4,0,4->4,0,0,0,0
119.1144,-2.4816,4,4,0,4->4,0,0,0,0
119.2311,-2.4816,0,0,0,0->0,0,0,0,0
119.2491,-2.4816,0,0,0,0->0,0,0,0,0
